品目分類,品番,品名,価格１,単位,診療区分,診療区分名,外来　使用量,入院　使用量,合計　使用量,外来　使用高,入院　使用高,合計　使用高,整形外科,,,,,,,,,,a・b・c,規格単位,外来規格単位数量,入院規格単位数量,
1,20000,"アルツディスポ関節注２５ｍｇ　１％",705,"筒",34,他注,24,0,24,16920,0,16920,24,,,,,,,,,,b,1,24,0,
1,20000,"アルツディスポ関節注２５ｍｇ　１％",705,"筒",40,処置,213,0,213,150165,0,150165,213,,,,,,,,,,,1,213,0,
1,20001,"デキサート注射液１．６５ｍｇ　０．",108,"Ａ",34,他注,10,0,10,1080,0,1080,10,,,,,,,,,,a,1,10,0,
1,20027,"生理食塩液　２０ｍＬ",100,"Ａ",40,処置,28,0,28,2800,0,2800,28,,,,,,,,,,,1,28,0,
1,20027,"生理食塩液　２０ｍＬ",100,"Ａ",50,手術,26,0,26,2600,0,2600,26,,,,,,,,,,,1,26,0,
1,20037,"アクテムラ皮下注１６２ｍｇオートイ",32608,"ｷｯﾄ",31,皮下,2,0,2,65216,0,65216,2,,,,,,,,,,,1,2,0,
1,20085,"生理食塩液　１００ｍＬ",147,"袋",50,手術,1,0,1,147,0,147,1,,,,,,,,,,,1,1,0,
1,20427,"エルネオパＮＦ１号輸液　１，０００",1244,"ｷｯﾄ",33,点滴,2,0,2,2488,0,2488,2,,,,,,,,,,,1,2,0,
1,20431,"ヘパリンＮａロック用１００Ｕ／ｍＬ",158,"筒",32,静脈,4,0,4,632,0,632,4,,,,,,,,,,,1,4,0,
1,20580,"リドカイン塩酸塩注１％「日新」　５",100,"Ａ",34,他注,6,0,6,600,0,600,6,,,,,,,,,,a,1,6,0,
1,20580,"リドカイン塩酸塩注１％「日新」　５",100,"Ａ",50,手術,5,0,5,500,0,500,5,,,,,,,,,,,1,5,0,
1,20582,"リドカイン塩酸塩注１％「日新」　１",100,"Ａ",50,手術,1,0,1,100,0,100,1,,,,,,,,,,,1,1,0,
1,21037,"カロナール錠２００　２００ｍｇ",6.7,"錠",22,屯服,200,0,200,1340,0,1340,200,,,,,,,,,,a,1,200,0,
1,21076,"ロキソニン錠６０ｍｇ",10.4,"錠",22,屯服,490,0,490,5096,0,5096,490,,,,,,,,,,b,1,490,0,
1,21175,"ムコスタ錠１００ｍｇ",10.4,"錠",22,屯服,490,0,490,5096,0,5096,490,,,,,,,,,,c,1,490,0,
1,28002,"ゲンタシン軟膏０．１％　１ｍｇ",11,"ｇ",40,処置,40,0,40,440,0,440,40,,,,,,,,,,,1,40,0,
1,28002,"ゲンタシン軟膏０．１％　１ｍｇ",11,"ｇ",50,手術,12,0,12,132,0,132,12,,,,,,,,,,,1,12,0,
1,28032,"フェルビナクスチック軟膏３％「三笠",4.5,"ｇ",23,外用,760,0,760,3420,0,3420,760,,,,,,,,,,c,1,760,0,
1,28036,"ロキソニンテープ５０ｍｇ　７ｃｍ×",12.7,"枚",23,外用,14,0,14,177.8,0,177.8,14,,,,,,,,,,c,1,14,0,
1,28037,"ロキソニンテープ１００ｍｇ　１０ｃ",17.6,"枚",23,外用,1176,0,1176,20697.6,0,20697.6,1176,,,,,,,,,,c,1,1176,0,
1,30015,"ボンビバ静注１ｍｇシリンジ　１ｍＬ",3293,"筒",32,静脈,9,0,9,29637,0,29637,9,,,,,,,,,,b,1,9,0,
1,30019,"キシロカイン注ポリアンプ１％　５ｍ",61,"Ａ",34,他注,1,0,1,61,0,61,1,,,,,,,,,,,1,1,0,
1,30019,"キシロカイン注ポリアンプ１％　５ｍ",61,"Ａ",50,手術,18.4,0,18.4,1122.4,0,1122.4,18.4,,,,,,,,,,,1,18.4,0,
1,30025,"イベニティ皮下注１０５ｍｇシリンジ",25061,"筒",31,皮下,10,0,10,250610,0,250610,10,,,,,,,,,,,1,10,0,
1,30026,"プラリア皮下注６０ｍｇシリンジ　１",24939,"筒",31,皮下,5,0,5,124695,0,124695,5,,,,,,,,,,,1,5,0,
1,30036,"プラリアＨＩ皮下注６０ｍｇシリンジ",24939,"筒",31,皮下,7,0,7,174573,0,174573,7,,,,,,,,,,,0,0,0,
1,30045,"イソジン液１０％",2.42,"mL",40,処置,2344,0,2344,5672.48,0,5672.48,2344,,,,,,,,,,,10,234.4,0,
1,30051,"ネオビタカイン注シリンジ５ｍＬ",343,"筒",50,手術,10,0,10,3430,0,3430,10,,,,,,,,,,,1,10,0,
1,30054,"リンデロン－ＶＧ軟膏０．１２％",27.7,"ｇ",40,処置,4,0,4,110.8,0,110.8,4,,,,,,,,,,,1,4,0,
2,7004,"電子媒体保存撮影",0,"回",70,画像,1902,0,1902,0,0,0,1902,,,,,,,,,,,0,0,0,
2,40003,"マイクロファインプラス３１Ｇ",17,"本",4,,672,0,672,11424,0,11424,672,,,,,,,,,,,0,0,0,
2,40004,"マイクロファインプラス３２Ｇ",17,"本",4,,28,0,28,476,0,476,28,,,,,,,,,,,0,0,0,
3,0,"乳幼児休日加算（初診）",365,,,,5,0,5,,,,5,,,,,,,,,,,0,0,0,
3,1000,"初診料",291,,,,529,0,529,,,,529,,,,,,,,,,,0,0,0,
3,1002,"休日加算（初診）",250,,,,30,0,30,,,,30,,,,,,,,,,,0,0,0,
3,1004,"乳幼児加算（初診）",75,,,,20,0,20,,,,20,,,,,,,,,,,0,0,0,
3,1502,"医療情報取得加算（初診）",1,,,,543,0,543,,,,543,,,,,,,,,,,0,0,0,
3,1521,"医療ＤＸ推進体制整備加算１(初診)",12,,,,544,0,544,,,,544,,,,,,,,,,,0,0,0,
3,1601,"労　初診料",3850,,,,15,0,15,,,,15,,,,,,,,,,,0,0,0,
