品目分類,品番,品名,価格１,単位,診療区分,診療区分名,外来　使用量,入院　使用量,合計　使用量,外来　使用高,入院　使用高,合計　使用高,整形外科,,,,,,,,,,a・b・c,規格単位,外来規格単位数量,入院規格単位数量,
1,20000,"アルツディスポ関節注２５ｍｇ　１％",733,"筒",34,他注,15,0,15,10995,0,10995,15,,,,,,,,,,b,1,15,0,
1,20000,"アルツディスポ関節注２５ｍｇ　１％",733,"筒",40,処置,185,0,185,135605,0,135605,185,,,,,,,,,,,1,185,0,
1,20027,"生理食塩液　２０ｍＬ",62,"Ａ",40,処置,7,0,7,434,0,434,7,,,,,,,,,,,1,7,0,
1,20027,"生理食塩液　２０ｍＬ",62,"Ａ",50,手術,53,0,53,3286,0,3286,53,,,,,,,,,,,1,53,0,
1,20037,"アクテムラ皮下注１６２ｍｇオートイ",32608,"ｷｯﾄ",31,皮下,2,0,2,65216,0,65216,2,,,,,,,,,,,1,2,0,
1,20085,"生理食塩液　１００ｍＬ",147,"袋",50,手術,1,0,1,147,0,147,1,,,,,,,,,,,1,1,0,
1,20580,"リドカイン塩酸塩注１％「日新」　５",59,"Ａ",34,他注,1,0,1,59,0,59,1,,,,,,,,,,a,1,1,0,
1,20580,"リドカイン塩酸塩注１％「日新」　５",59,"Ａ",50,手術,2,0,2,118,0,118,2,,,,,,,,,,,1,2,0,
1,21037,"カロナール錠２００　２００ｍｇ",6.7,"錠",22,屯服,20,0,20,134,0,134,20,,,,,,,,,,a,1,20,0,
1,21076,"ロキソニン錠６０ｍｇ",10.1,"錠",21,内服,168,0,168,1696.8,0,1696.8,168,,,,,,,,,,b,1,168,0,
1,21076,"ロキソニン錠６０ｍｇ",10.1,"錠",22,屯服,440,0,440,4444,0,4444,440,,,,,,,,,,b,1,440,0,
1,21175,"ムコスタ錠１００ｍｇ",10.1,"錠",21,内服,168,0,168,1696.8,0,1696.8,168,,,,,,,,,,c,1,168,0,
1,21175,"ムコスタ錠１００ｍｇ",10.1,"錠",22,屯服,440,0,440,4444,0,4444,440,,,,,,,,,,c,1,440,0,
1,28002,"ゲンタシン軟膏０．１％　１ｍｇ",11,"ｇ",23,外用,20,0,20,220,0,220,20,,,,,,,,,,,1,20,0,
1,28002,"ゲンタシン軟膏０．１％　１ｍｇ",11,"ｇ",40,処置,32,0,32,352,0,352,32,,,,,,,,,,,1,32,0,
1,28007,"ヒルドイドソフト軟膏０．３％",18.5,"ｇ",40,処置,16,0,16,296,0,296,16,,,,,,,,,,,1,16,0,
1,28032,"フェルビナクスチック軟膏３％「三笠",4.8,"ｇ",23,外用,360,0,360,1728,0,1728,360,,,,,,,,,,c,1,360,0,
1,28036,"ロキソニンテープ５０ｍｇ　７ｃｍ×",12.9,"枚",23,外用,98,0,98,1264.2,0,1264.2,98,,,,,,,,,,b,1,98,0,
1,28037,"ロキソニンテープ１００ｍｇ　１０ｃ",18.4,"枚",23,外用,1239,0,1239,22797.6,0,22797.6,1239,,,,,,,,,,b,1,1239,0,
1,28052,"プロスタンディン軟膏０．００３％",37.5,"ｇ",40,処置,4,0,4,150,0,150,4,,,,,,,,,,,1,4,0,
1,30015,"ボンビバ静注１ｍｇシリンジ　１ｍＬ",3476,"筒",32,静脈,11,0,11,38236,0,38236,11,,,,,,,,,,b,1,11,0,
1,30019,"キシロカイン注ポリアンプ１％　５ｍ",59,"Ａ",34,他注,35,0,35,2065,0,2065,35,,,,,,,,,,,1,35,0,
1,30019,"キシロカイン注ポリアンプ１％　５ｍ",59,"Ａ",40,処置,3,0,3,177,0,177,3,,,,,,,,,,,1,3,0,
1,30019,"キシロカイン注ポリアンプ１％　５ｍ",59,"Ａ",50,手術,38,0,38,2242,0,2242,38,,,,,,,,,,,1,38,0,
1,30025,"イベニティ皮下注１０５ｍｇシリンジ",25061,"筒",31,皮下,6,0,6,150366,0,150366,6,,,,,,,,,,,1,6,0,
1,30026,"プラリア皮下注６０ｍｇシリンジ　１",24939,"筒",31,皮下,13,0,13,324207,0,324207,13,,,,,,,,,,,1,13,0,
1,30045,"イソジン液１０％",2.42,"mL",40,処置,2010,0,2010,4864.2,0,4864.2,2010,,,,,,,,,,,10,201,0,
1,30045,"イソジン液１０％",2.42,"mL",50,手術,10,0,10,24.2,0,24.2,10,,,,,,,,,,,10,1,0,
1,30047,"ケナコルト－Ａ筋注用関節腔内用水懸",785,"瓶",34,他注,11.5,0,11.5,9027.5,0,9027.5,11.5,,,,,,,,,,,1,11.5,0,
1,30047,"ケナコルト－Ａ筋注用関節腔内用水懸",785,"瓶",40,処置,0.25,0,0.25,196.25,0,196.25,0.25,,,,,,,,,,,1,0.25,0,
1,30051,"ネオビタカイン注シリンジ５ｍＬ",343,"筒",50,手術,12,0,12,4116,0,4116,12,,,,,,,,,,,1,12,0,
1,30057,"生理食塩液ＰＬ「フソー」　２０ｍＬ",62,"Ａ",50,手術,1,0,1,62,0,62,1,,,,,,,,,,,1,1,0,
2,7004,"電子媒体保存撮影",0,"回",70,画像,1722,0,1722,0,0,0,1722,,,,,,,,,,,0,0,0,
2,40003,"マイクロファインプラス３１Ｇ",17,"本",4,,742,0,742,12614,0,12614,742,,,,,,,,,,,0,0,0,
3,1000,"初診料",291,,,,449,0,449,,,,449,,,,,,,,,,,0,0,0,
3,1004,"乳幼児加算（初診）",75,,,,10,0,10,,,,10,,,,,,,,,,,0,0,0,
3,1502,"医療情報取得加算（初診）",1,,,,462,0,462,,,,462,,,,,,,,,,,0,0,0,
3,1521,"医療ＤＸ推進体制整備加算１(初診)",11,,,,464,0,464,,,,464,,,,,,,,,,,0,0,0,
3,1601,"労　初診料",3850,,,,17,0,17,,,,17,,,,,,,,,,,0,0,0,
3,1606,"労　救急管理加算外",1250,,,,12,0,12,,,,12,,,,,,,,,,,0,0,0,
3,8950,"夜間・早朝等加算（初診）",50,,,,29,0,29,,,,29,,,,,,,,,,,0,0,0,
3,1200,"明細書発行体制等加算",1,,,,2231,0,2231,,,,2231,,,,,,,,,,,0,0,0,
3,1251,"再診料",75,,,,2063,0,2063,,,,2063,,,,,,,,,,,0,0,0,
3,1254,"同日再診料",75,,,,1,0,1,,,,1,,,,,,,,,,,0,0,0,
3,1265,"外来管理加算",52,,,,297,0,297,,,,297,,,,,,,,,,,0,0,0,
3,1504,"医療情報取得加算（再診）",1,,,,427,0,427,,,,427,,,,,,,,,,,0,0,0,
3,1620,"労　再診料",1420,,,,167,0,167,,,,167,,,,,,,,,,,0,0,0,
3,1697,"乳幼児加算（再診）",38,,,,4,0,4,,,,4,,,,,,,,,,,0,0,0,
3,8953,"夜間・早朝等加算（再診）",50,,,,135,0,135,,,,135,,,,,,,,,,,0,0,0,
3,1030,"特定疾患療養指導料",225,,,,1,0,1,,,,1,,,,,,,,,,,0,0,0,
3,1059,"難病外来指導管理料",270,,,,1,0,1,,,,1,,,,,,,,,,,0,0,0,
3,1310,"診療情報提供Ａ",250,,,,11,0,11,,,,11,,,,,,,,,,,0,0,0,
3,1314,"療養費同意書交付料",100,,,,4,0,4,,,,4,,,,,,,,,,,0,0,0,
3,1315,"傷病金意見書交付料",100,,,,12,0,12,,,,12,,,,,,,,,,,0,0,0,
3,1316,"在宅療養指導料",170,,,,6,0,6,,,,6,,,,,,,,,,,0,0,0,
3,1616,"再診時療養指導管理料　生活",920,,,,164,0,164,,,,164,,,,,,,,,,,0,0,0,
3,20563,"生活習慣病管理料１（高血圧症を主病",660,,,,1,0,1,,,,1,,,,,,,,,,,0,0,0,
3,1061,"在宅自己注射指導管理料（１以外）（",750,,,,23,0,23,,,,23,,,,,,,,,,,0,0,0,
