品目分類,品番,品名,価格１,単位,診療区分,診療区分名,外来　使用量,入院　使用量,合計　使用量,外来　使用高,入院　使用高,合計　使用高,整形外科,,,,,,,,,,a・b・c,規格単位,外来規格単位数量,入院規格単位数量,
1,20000,"アルツディスポ関節注２５ｍｇ　１％",780,"筒",34,他注,29,0,29,22620,0,22620,29,,,,,,,,,,b,1,29,0,
1,20000,"アルツディスポ関節注２５ｍｇ　１％",780,"筒",40,処置,151,0,151,117780,0,117780,151,,,,,,,,,,,1,151,0,
1,20001,"デキサート注射液１．６５ｍｇ　０．",63,"Ａ",50,手術,3,0,3,189,0,189,3,,,,,,,,,,,1,3,0,
1,20027,"生理食塩液　２０ｍＬ",62,"Ａ",40,処置,10,0,10,620,0,620,10,,,,,,,,,,,1,10,0,
1,20027,"生理食塩液　２０ｍＬ",62,"Ａ",50,手術,44,0,44,2728,0,2728,44,,,,,,,,,,,1,44,0,
1,20083,"フィブラストスプレー５００　５００",7820.6,"瓶",23,外用,1,0,1,7820.6,0,7820.6,1,,,,,,,,,,,1,1,0,
1,20085,"生理食塩液　１００ｍＬ",145,"袋",50,手術,2,0,2,290,0,290,2,,,,,,,,,,,1,2,0,
1,20427,"エルネオパＮＦ１号輸液　１０００ｍ",1084,"ｷｯﾄ",33,点滴,1,0,1,1084,0,1084,1,,,,,,,,,,,1,1,0,
1,20431,"ヘパリンＮａロック用１００Ｕ／ｍＬ",139,"筒",32,静脈,2,0,2,278,0,278,2,,,,,,,,,,a,1,2,0,
1,20462,"シンポニー皮下注５０ｍｇオートイン",109382,"ｷｯﾄ",31,皮下,2,0,2,218764,0,218764,2,,,,,,,,,,,1,2,0,
1,21037,"カロナール錠２００　２００ｍｇ",5.9,"錠",22,屯服,100,0,100,590,0,590,100,,,,,,,,,,a,1,100,0,
1,21076,"ロキソニン錠６０ｍｇ",10.1,"錠",21,内服,126,0,126,1272.6,0,1272.6,126,,,,,,,,,,b,1,126,0,
1,21076,"ロキソニン錠６０ｍｇ",10.1,"錠",22,屯服,460,0,460,4646,0,4646,460,,,,,,,,,,b,1,460,0,
1,21175,"ムコスタ錠１００ｍｇ",10.1,"錠",21,内服,126,0,126,1272.6,0,1272.6,126,,,,,,,,,,c,1,126,0,
1,21175,"ムコスタ錠１００ｍｇ",10.1,"錠",22,屯服,460,0,460,4646,0,4646,460,,,,,,,,,,c,1,460,0,
1,28002,"ゲンタシン軟膏０．１％　１ｍｇ",11,"ｇ",40,処置,36,0,36,396,0,396,36,,,,,,,,,,,1,36,0,
1,28007,"ヒルドイドソフト軟膏０．３％",19.2,"ｇ",40,処置,1872,0,1872,35942.4,0,35942.4,1872,,,,,,,,,,,1,1872,0,
1,28032,"フェルビナクスチック軟膏３％「三笠",5.2,"ｇ",23,外用,320,0,320,1664,0,1664,320,,,,,,,,,,a,1,320,0,
1,28036,"ロキソニンテープ５０ｍｇ　７ｃｍ×",14.9,"枚",23,外用,28,0,28,417.2,0,417.2,28,,,,,,,,,,b,1,28,0,
1,28037,"ロキソニンテープ１００ｍｇ　１０ｃ",21.4,"枚",23,外用,693,0,693,14830.2,0,14830.2,693,,,,,,,,,,b,1,693,0,
1,30019,"キシロカイン注ポリアンプ１％　５ｍ",59,"Ａ",34,他注,29,0,29,1711,0,1711,29,,,,,,,,,,,1,29,0,
1,30019,"キシロカイン注ポリアンプ１％　５ｍ",59,"Ａ",50,手術,11,0,11,649,0,649,11,,,,,,,,,,,1,11,0,
1,30025,"イベニティ皮下注１０５ｍｇシリンジ",25061,"筒",31,皮下,38,0,38,952318,0,952318,38,,,,,,,,,,,1,38,0,
1,30026,"プラリア皮下注６０ｍｇシリンジ　１",28136,"筒",31,皮下,3,0,3,84408,0,84408,3,,,,,,,,,,,1,3,0,
1,30045,"イソジン液１０％",2.46,"mL",40,処置,1760,0,1760,4329.6,0,4329.6,1760,,,,,,,,,,,10,176,0,
1,30046,"キシロカイン注ポリアンプ１％　１０",82,"Ａ",50,手術,4,0,4,328,0,328,4,,,,,,,,,,,1,4,0,
1,30047,"ケナコルト－Ａ筋注用関節腔内用水懸",800,"瓶",34,他注,9.75,0,9.75,7800,0,7800,9.75,,,,,,,,,,,1,9.75,0,
1,30051,"ネオビタカイン注シリンジ５ｍＬ",343,"筒",50,手術,32,0,32,10976,0,10976,32,,,,,,,,,,,1,32,0,
1,30054,"リンデロン－ＶＧ軟膏０．１２％",27.7,"ｇ",40,処置,1,0,1,27.7,0,27.7,1,,,,,,,,,,,1,1,0,
1,30057,"生理食塩液ＰＬ「フソー」　２０ｍＬ",62,"Ａ",50,手術,3,0,3,186,0,186,3,,,,,,,,,,,1,3,0,
2,7004,"電子媒体保存撮影",0,"回",70,画像,1577,0,1577,0,0,0,1577,,,,,,,,,,,0,0,0,
2,40003,"マイクロファインプラス３１Ｇ",17,"本",4,,266,0,266,4522,0,4522,266,,,,,,,,,,,0,0,0,
3,0,"乳幼児休日加算（初診）",365,,,,3,0,3,,,,3,,,,,,,,,,,0,0,0,
3,1000,"初診料",288,,,,452,0,452,,,,452,,,,,,,,,,,0,0,0,
3,1001,"時間外加算（初診）",85,,,,1,0,1,,,,1,,,,,,,,,,,0,0,0,
3,1002,"休日加算（初診）",250,,,,42,0,42,,,,42,,,,,,,,,,,0,0,0,
3,1004,"乳幼児加算（初診）",75,,,,17,0,17,,,,17,,,,,,,,,,,0,0,0,
3,1165,"医療情報・システム基盤整備体制充実",4,,,,443,0,443,,,,443,,,,,,,,,,,0,0,0,
3,1166,"医療情報・システム基盤整備体制充実",2,,,,23,0,23,,,,23,,,,,,,,,,,0,0,0,
3,1601,"労　初診料",3820,,,,14,0,14,,,,14,,,,,,,,,,,0,0,0,
