品目分類,品番,品名,価格１,単位,診療区分,診療区分名,外来　使用量,入院　使用量,合計　使用量,外来　使用高,入院　使用高,合計　使用高,整形外科,,,,,,,,,,a・b・c,規格単位,外来規格単位数量,入院規格単位数量,
1,20000,"アルツディスポ関節注２５ｍｇ　１％",733,"筒",34,他注,19,0,19,13927,0,13927,19,,,,,,,,,,b,1,19,0,
1,20000,"アルツディスポ関節注２５ｍｇ　１％",733,"筒",40,処置,168,0,168,123144,0,123144,168,,,,,,,,,,,1,168,0,
1,20001,"デキサート注射液１．６５ｍｇ　０．",108,"Ａ",50,手術,1,0,1,108,0,108,1,,,,,,,,,,,1,1,0,
1,20027,"生理食塩液　２０ｍＬ",62,"Ａ",40,処置,21,0,21,1302,0,1302,21,,,,,,,,,,,1,21,0,
1,20027,"生理食塩液　２０ｍＬ",62,"Ａ",50,手術,45,0,45,2790,0,2790,45,,,,,,,,,,,1,45,0,
1,20037,"アクテムラ皮下注１６２ｍｇオートイ",32608,"ｷｯﾄ",31,皮下,3,0,3,97824,0,97824,3,,,,,,,,,,,1,3,0,
1,20149,"生理食塩液　１００ｍＬ",145,"瓶",40,処置,1,0,1,145,0,145,1,,,,,,,,,,,1,1,0,
1,20279,"ユーパスタコーワ軟膏",12.4,"ｇ",40,処置,4,0,4,49.6,0,49.6,4,,,,,,,,,,,1,4,0,
1,20426,"イントラリポス輸液１０％　２５０ｍ",1058,"袋",33,点滴,5,0,5,5290,0,5290,5,,,,,,,,,,,1,5,0,
1,20427,"エルネオパＮＦ１号輸液　１０００ｍ",1244,"ｷｯﾄ",33,点滴,5,0,5,6220,0,6220,5,,,,,,,,,,,1,5,0,
1,20431,"ヘパリンＮａロック用１００Ｕ／ｍＬ",158,"筒",32,静脈,14,0,14,2212,0,2212,14,,,,,,,,,,,1,14,0,
1,21037,"カロナール錠２００　２００ｍｇ",6.7,"錠",22,屯服,160,0,160,1072,0,1072,160,,,,,,,,,,a,1,160,0,
1,21076,"ロキソニン錠６０ｍｇ",10.1,"錠",21,内服,126,0,126,1272.6,0,1272.6,126,,,,,,,,,,b,1,126,0,
1,21076,"ロキソニン錠６０ｍｇ",10.1,"錠",22,屯服,460,0,460,4646,0,4646,460,,,,,,,,,,b,1,460,0,
1,21175,"ムコスタ錠１００ｍｇ",10.1,"錠",21,内服,126,0,126,1272.6,0,1272.6,126,,,,,,,,,,c,1,126,0,
1,21175,"ムコスタ錠１００ｍｇ",10.1,"錠",22,屯服,460,0,460,4646,0,4646,460,,,,,,,,,,c,1,460,0,
1,28002,"ゲンタシン軟膏０．１％　１ｍｇ",11,"ｇ",23,外用,10,0,10,110,0,110,10,,,,,,,,,,,1,10,0,
1,28002,"ゲンタシン軟膏０．１％　１ｍｇ",11,"ｇ",40,処置,60,0,60,660,0,660,60,,,,,,,,,,,1,60,0,
1,28002,"ゲンタシン軟膏０．１％　１ｍｇ",11,"ｇ",50,手術,4,0,4,44,0,44,4,,,,,,,,,,,1,4,0,
1,28007,"ヒルドイドソフト軟膏０．３％",18.5,"ｇ",40,処置,2592,0,2592,47952,0,47952,2592,,,,,,,,,,,1,2592,0,
1,28032,"フェルビナクスチック軟膏３％「三笠",4.8,"ｇ",23,外用,600,0,600,2880,0,2880,600,,,,,,,,,,c,1,600,0,
