品目分類,品番,品名,価格１,単位,診療区分,診療区分名,外来　使用量,入院　使用量,合計　使用量,外来　使用高,入院　使用高,合計　使用高,整形外科,,,,,,,,,,a・b・c,規格単位,外来規格単位数量,入院規格単位数量,
1,20000,"アルツディスポ関節注２５ｍｇ　１％",705,"筒",34,他注,22,0,22,15510,0,15510,22,,,,,,,,,,b,1,22,0,
1,20000,"アルツディスポ関節注２５ｍｇ　１％",705,"筒",40,処置,196,0,196,138180,0,138180,196,,,,,,,,,,,1,196,0,
1,20001,"デキサート注射液１．６５ｍｇ　０．",108,"Ａ",34,他注,29,0,29,3132,0,3132,29,,,,,,,,,,a,1,29,0,
1,20001,"デキサート注射液１．６５ｍｇ　０．",108,"Ａ",50,手術,1,0,1,108,0,108,1,,,,,,,,,,,1,1,0,
1,20027,"生理食塩液　２０ｍＬ",100,"Ａ",40,処置,12,0,12,1200,0,1200,12,,,,,,,,,,,1,12,0,
1,20027,"生理食塩液　２０ｍＬ",100,"Ａ",50,手術,33.15,0,33.15,3315,0,3315,33.15,,,,,,,,,,,1,33.15,0,
1,20037,"アクテムラ皮下注１６２ｍｇオートイ",32608,"ｷｯﾄ",31,皮下,2,0,2,65216,0,65216,2,,,,,,,,,,,1,2,0,
1,20085,"生理食塩液　１００ｍＬ",147,"袋",40,処置,1,0,1,147,0,147,1,,,,,,,,,,,1,1,0,
1,20085,"生理食塩液　１００ｍＬ",147,"袋",50,手術,1,0,1,147,0,147,1,,,,,,,,,,,1,1,0,
1,20314,"沈降破傷風トキソイド　０．５ｍＬ",1063,"瓶",31,皮下,1,0,1,1063,0,1063,1,,,,,,,,,,,1,1,0,
1,20427,"エルネオパＮＦ１号輸液　１，０００",1244,"ｷｯﾄ",33,点滴,2,0,2,2488,0,2488,2,,,,,,,,,,,1,2,0,
1,20431,"ヘパリンＮａロック用１００Ｕ／ｍＬ",158,"筒",32,静脈,4,0,4,632,0,632,4,,,,,,,,,,,1,4,0,
1,20580,"リドカイン塩酸塩注１％「日新」　５",100,"Ａ",34,他注,33,0,33,3300,0,3300,33,,,,,,,,,,a,1,33,0,
1,20580,"リドカイン塩酸塩注１％「日新」　５",100,"Ａ",50,手術,9,0,9,900,0,900,9,,,,,,,,,,,1,9,0,
1,20582,"リドカイン塩酸塩注１％「日新」　１",100,"Ａ",50,手術,2,0,2,200,0,200,2,,,,,,,,,,,1,2,0,
1,21037,"カロナール錠２００　２００ｍｇ",6.7,"錠",22,屯服,100,0,100,670,0,670,100,,,,,,,,,,a,1,100,0,
1,21076,"ロキソニン錠６０ｍｇ",10.4,"錠",22,屯服,530,0,530,5512,0,5512,530,,,,,,,,,,b,1,530,0,
1,21175,"ムコスタ錠１００ｍｇ",10.4,"錠",22,屯服,530,0,530,5512,0,5512,530,,,,,,,,,,c,1,530,0,
1,28002,"ゲンタシン軟膏０．１％　１ｍｇ",11,"ｇ",40,処置,60,0,60,660,0,660,60,,,,,,,,,,,1,60,0,
1,28002,"ゲンタシン軟膏０．１％　１ｍｇ",11,"ｇ",50,手術,4,0,4,44,0,44,4,,,,,,,,,,,1,4,0,
