品目分類,品番,品名,価格１,単位,診療区分,診療区分名,外来　使用量,入院　使用量,合計　使用量,外来　使用高,入院　使用高,合計　使用高,整形外科,,,,,,,,,,a・b・c,規格単位,外来規格単位数量,入院規格単位数量,
1,20000,"アルツディスポ関節注２５ｍｇ　１％",780,"筒",34,他注,9,0,9,7020,0,7020,9,,,,,,,,,,b,1,9,0,
1,20000,"アルツディスポ関節注２５ｍｇ　１％",780,"筒",40,処置,91,0,91,70980,0,70980,91,,,,,,,,,,,1,91,0,
1,20001,"デキサート注射液１．６５ｍｇ　０．",63,"Ａ",50,手術,8,0,8,504,0,504,8,,,,,,,,,,,1,8,0,
1,20027,"生理食塩液　２０ｍＬ",62,"Ａ",40,処置,15,0,15,930,0,930,15,,,,,,,,,,,1,15,0,
1,20027,"生理食塩液　２０ｍＬ",62,"Ａ",50,手術,14,0,14,868,0,868,14,,,,,,,,,,,1,14,0,
1,20085,"生理食塩液　１００ｍＬ",145,"袋",50,手術,1,0,1,145,0,145,1,,,,,,,,,,,1,1,0,
1,20262,"オムニパーク２４０注１０ｍＬ　５１",434,"瓶",50,手術,2,0,2,868,0,868,2,,,,,,,,,,,1,2,0,
1,20314,"沈降破傷風トキソイド　０．５ｍＬ",644,"瓶",31,皮下,1,0,1,644,0,644,1,,,,,,,,,,,1,1,0,
1,20426,"イントラリポス輸液１０％　２５０ｍ",1058,"袋",33,点滴,5,0,5,5290,0,5290,5,,,,,,,,,,,1,5,0,
1,20427,"エルネオパＮＦ１号輸液　１０００ｍ",1084,"ｷｯﾄ",33,点滴,14,0,14,15176,0,15176,14,,,,,,,,,,,1,14,0,
1,20431,"ヘパリンＮａロック用１００Ｕ／ｍＬ",139,"筒",32,静脈,6,0,6,834,0,834,6,,,,,,,,,,a,1,6,0,
1,21076,"ロキソニン錠６０ｍｇ",10.1,"錠",21,内服,210,0,210,2121,0,2121,210,,,,,,,,,,b,1,210,0,
1,21076,"ロキソニン錠６０ｍｇ",10.1,"錠",22,屯服,140,0,140,1414,0,1414,140,,,,,,,,,,b,1,140,0,
1,21175,"ムコスタ錠１００ｍｇ",10.1,"錠",21,内服,210,0,210,2121,0,2121,210,,,,,,,,,,c,1,210,0,
1,21175,"ムコスタ錠１００ｍｇ",10.1,"錠",22,屯服,140,0,140,1414,0,1414,140,,,,,,,,,,c,1,140,0,
