品目分類,品番,品名,価格１,単位,診療区分,診療区分名,外来　使用量,入院　使用量,合計　使用量,外来　使用高,入院　使用高,合計　使用高,整形外科,,,,,,,,,,a・b・c,規格単位,外来規格単位数量,入院規格単位数量,
1,20000,"アルツディスポ関節注２５ｍｇ　１％",780,"筒",34,他注,16,0,16,12480,0,12480,16,,,,,,,,,,b,1,16,0,
1,20000,"アルツディスポ関節注２５ｍｇ　１％",780,"筒",40,処置,108,0,108,84240,0,84240,108,,,,,,,,,,,1,108,0,
1,20001,"デキサート注射液１．６５ｍｇ　０．",63,"Ａ",50,手術,1,0,1,63,0,63,1,,,,,,,,,,,1,1,0,
1,20027,"生理食塩液　２０ｍＬ",62,"Ａ",40,処置,14,0,14,868,0,868,14,,,,,,,,,,,1,14,0,
1,20027,"生理食塩液　２０ｍＬ",62,"Ａ",50,手術,18,0,18,1116,0,1116,18,,,,,,,,,,,1,18,0,
1,20083,"フィブラストスプレー５００　５００",7820.6,"瓶",40,処置,2,0,2,15641.2,0,15641.2,2,,,,,,,,,,,1,2,0,
1,20085,"生理食塩液　１００ｍＬ",145,"袋",40,処置,14,0,14,2030,0,2030,14,,,,,,,,,,,1,14,0,
1,20085,"生理食塩液　１００ｍＬ",145,"袋",50,手術,1,0,1,145,0,145,1,,,,,,,,,,,1,1,0,
1,20346,"生食注「トーワ」　２０ｍＬ",62,"Ａ",40,処置,2,0,2,124,0,124,2,,,,,,,,,,,1,2,0,
1,20346,"生食注「トーワ」　２０ｍＬ",62,"Ａ",50,手術,0.75,0,0.75,46.5,0,46.5,0.75,,,,,,,,,,,1,0.75,0,
1,21076,"ロキソニン錠６０ｍｇ",10.1,"錠",21,内服,42,0,42,424.2,0,424.2,42,,,,,,,,,,b,1,42,0,
1,21076,"ロキソニン錠６０ｍｇ",10.1,"錠",22,屯服,200,0,200,2020,0,2020,200,,,,,,,,,,b,1,200,0,
1,21175,"ムコスタ錠１００ｍｇ",10.1,"錠",21,内服,42,0,42,424.2,0,424.2,42,,,,,,,,,,c,1,42,0,
1,21175,"ムコスタ錠１００ｍｇ",10.1,"錠",22,屯服,200,0,200,2020,0,2020,200,,,,,,,,,,c,1,200,0,
1,28002,"ゲンタシン軟膏０．１％　１ｍｇ",11,"ｇ",40,処置,42,0,42,462,0,462,42,,,,,,,,,,,1,42,0,
1,28002,"ゲンタシン軟膏０．１％　１ｍｇ",11,"ｇ",50,手術,4,0,4,44,0,44,4,,,,,,,,,,,1,4,0,
1,28007,"ヒルドイドソフト軟膏０．３％",19.2,"ｇ",40,処置,2192,0,2192,42086.4,0,42086.4,2192,,,,,,,,,,,1,2192,0,
1,28037,"ロキソニンテープ１００ｍｇ　１０ｃ",21.4,"枚",23,外用,462,0,462,9886.8,0,9886.8,462,,,,,,,,,,b,1,462,0,
1,28053,"ゲーベンクリーム１％",12.8,"ｇ",40,処置,5,0,5,64,0,64,5,,,,,,,,,,,1,5,0,
1,28054,"イソジンシュガーパスタ軟膏",8.5,"ｇ",40,処置,60,0,60,510,0,510,60,,,,,,,,,,,1,60,0,
1,30019,"キシロカイン注ポリアンプ１％　５ｍ",59,"Ａ",34,他注,16,0,16,944,0,944,16,,,,,,,,,,,1,16,0,
1,30019,"キシロカイン注ポリアンプ１％　５ｍ",59,"Ａ",40,処置,1,0,1,59,0,59,1,,,,,,,,,,,1,1,0,
1,30019,"キシロカイン注ポリアンプ１％　５ｍ",59,"Ａ",50,手術,5,0,5,295,0,295,5,,,,,,,,,,,1,5,0,
1,30025,"イベニティ皮下注１０５ｍｇシリンジ",25061,"筒",31,皮下,34,0,34,852074,0,852074,34,,,,,,,,,,,1,34,0,
1,30026,"プラリア皮下注６０ｍｇシリンジ　１",28136,"筒",31,皮下,2,0,2,56272,0,56272,2,,,,,,,,,,,1,2,0,
1,30045,"イソジン液１０％",2.46,"mL",40,処置,1328,0,1328,3266.88,0,3266.88,1328,,,,,,,,,,,10,132.8,0,
1,30046,"キシロカイン注ポリアンプ１％　１０",82,"Ａ",50,手術,2,0,2,164,0,164,2,,,,,,,,,,,1,2,0,
1,30047,"ケナコルト－Ａ筋注用関節腔内用水懸",800,"瓶",34,他注,5.5,0,5.5,4400,0,4400,5.5,,,,,,,,,,,1,5.5,0,
1,30048,"ソフラチュール貼付剤１０ｃｍ　１０",54.1,"枚",40,処置,1,0,1,54.1,0,54.1,1,,,,,,,,,,,1,1,0,
1,30051,"ネオビタカイン注シリンジ５ｍＬ",343,"筒",50,手術,28,0,28,9604,0,9604,28,,,,,,,,,,,1,28,0,
2,7004,"電子媒体保存撮影",0,"回",70,画像,1312,0,1312,0,0,0,1312,,,,,,,,,,,0,0,0,
2,20447,"陰圧創傷治療用カートリッジ",19800,"個",40,処置,1,0,1,19800,0,19800,1,,,,,,,,,,,0,0,0,
2,20452,"局所陰圧閉鎖処置用材料",18,"cm2",40,処置,25,0,25,450,0,450,25,,,,,,,,,,,0,0,0,
2,40003,"マイクロファインプラス３１Ｇ",17,"本",4,,84,0,84,1428,0,1428,84,,,,,,,,,,,0,0,0,
3,1000,"初診料",288,,,,354,0,354,,,,354,,,,,,,,,,,0,0,0,
3,1001,"時間外加算（初診）",85,,,,1,0,1,,,,1,,,,,,,,,,,0,0,0,
3,1004,"乳幼児加算（初診）",75,,,,11,0,11,,,,11,,,,,,,,,,,0,0,0,
3,1165,"医療情報・システム基盤整備体制充実",6,,,,350,0,350,,,,350,,,,,,,,,,,0,0,0,
3,1166,"医療情報・システム基盤整備体制充実",2,,,,8,0,8,,,,8,,,,,,,,,,,0,0,0,
