品目分類,品番,品名,価格１,単位,診療区分,診療区分名,外来　使用量,入院　使用量,合計　使用量,外来　使用高,入院　使用高,合計　使用高,整形外科,,,,,,,,,,a・b・c,規格単位,外来規格単位数量,入院規格単位数量,
1,20000,"アルツディスポ関節注２５ｍｇ　１％",813,"筒",34,他注,18,0,18,14634,0,14634,18,,,,,,,,,,b,1,18,0,
1,20000,"アルツディスポ関節注２５ｍｇ　１％",813,"筒",40,処置,90,0,90,73170,0,73170,90,,,,,,,,,,,1,90,0,
1,20001,"デキサート注射液１．６５ｍｇ　０．",57,"Ａ",50,手術,1,0,1,57,0,57,1,,,,,,,,,,,1,1,0,
1,20027,"生理食塩液　２０ｍＬ",62,"Ａ",40,処置,19,0,19,1178,0,1178,19,,,,,,,,,,,1,19,0,
1,20027,"生理食塩液　２０ｍＬ",62,"Ａ",50,手術,18,0,18,1116,0,1116,18,,,,,,,,,,,1,18,0,
1,20085,"生理食塩液　１００ｍＬ",132,"袋",50,手術,1,0,1,132,0,132,1,,,,,,,,,,,1,1,0,
1,20205,"ビーフリード輸液　５００ｍＬ",490,"ｷｯﾄ",33,点滴,6,0,6,2940,0,2940,6,,,,,,,,,,,1,6,0,
1,20279,"ユーパスタコーワ軟膏",18,"ｇ",40,処置,12,0,12,216,0,216,12,,,,,,,,,,,1,12,0,
1,20310,"ラクテック注　５００ｍＬ",215,"袋",33,点滴,3,0,3,645,0,645,3,,,,,,,,,,,1,3,0,
1,20346,"生食注「トーワ」　２０ｍＬ",62,"Ａ",50,手術,2,0,2,124,0,124,2,,,,,,,,,,,1,2,0,
1,20426,"イントラリポス輸液１０％　２５０ｍ",1058,"袋",33,点滴,2,0,2,2116,0,2116,2,,,,,,,,,,,1,2,0,
1,20427,"エルネオパＮＦ１号輸液　１０００ｍ",1127,"ｷｯﾄ",33,点滴,12,0,12,13524,0,13524,12,,,,,,,,,,,1,12,0,
1,20431,"ヘパリンＮａロック用１００Ｕ／ｍＬ",109,"筒",32,静脈,6,0,6,654,0,654,6,,,,,,,,,,a,1,6,0,
1,21076,"ロキソニン錠６０ｍｇ",11,"錠",21,内服,210,0,210,2310,0,2310,210,,,,,,,,,,b,1,210,0,
1,21076,"ロキソニン錠６０ｍｇ",11,"錠",22,屯服,240,0,240,2640,0,2640,240,,,,,,,,,,b,1,240,0,
1,21175,"ムコスタ錠１００ｍｇ",10.1,"錠",21,内服,210,0,210,2121,0,2121,210,,,,,,,,,,c,1,210,0,
1,21175,"ムコスタ錠１００ｍｇ",10.1,"錠",22,屯服,240,0,240,2424,0,2424,240,,,,,,,,,,c,1,240,0,
1,28002,"ゲンタシン軟膏０．１％　１ｍｇ",11,"ｇ",40,処置,30,0,30,330,0,330,30,,,,,,,,,,,1,30,0,
1,28002,"ゲンタシン軟膏０．１％　１ｍｇ",11,"ｇ",50,手術,10,0,10,110,0,110,10,,,,,,,,,,,1,10,0,
1,28007,"ヒルドイドソフト軟膏０．３％",20.1,"ｇ",40,処置,1804,0,1804,36260.4,0,36260.4,1804,,,,,,,,,,,1,1804,0,
1,28037,"ロキソニンテープ１００ｍｇ　１０ｃ",24.4,"枚",23,外用,539,0,539,13151.6,0,13151.6,539,,,,,,,,,,b,1,539,0,
1,30019,"キシロカイン注ポリアンプ１％　５ｍ",59,"Ａ",34,他注,21,0,21,1239,0,1239,21,,,,,,,,,,,1,21,0,
1,30019,"キシロカイン注ポリアンプ１％　５ｍ",59,"Ａ",40,処置,5,0,5,295,0,295,5,,,,,,,,,,,1,5,0,
1,30019,"キシロカイン注ポリアンプ１％　５ｍ",59,"Ａ",50,手術,5,0,5,295,0,295,5,,,,,,,,,,,1,5,0,
1,30025,"イベニティ皮下注１０５ｍｇシリンジ",25061,"筒",31,皮下,22,0,22,551342,0,551342,22,,,,,,,,,,,1,22,0,
1,30026,"プラリア皮下注６０ｍｇシリンジ　１",28136,"筒",31,皮下,3,0,3,84408,0,84408,3,,,,,,,,,,,1,3,0,
1,30045,"イソジン液１０％",2.46,"mL",40,処置,1066,0,1066,2622.36,0,2622.36,1066,,,,,,,,,,,10,106.6,0,
1,30046,"キシロカイン注ポリアンプ１％　１０",85,"Ａ",50,手術,2,0,2,170,0,170,2,,,,,,,,,,,1,2,0,
1,30047,"ケナコルト－Ａ筋注用関節腔内用水懸",800,"瓶",34,他注,9.75,0,9.75,7800,0,7800,9.75,,,,,,,,,,,1,9.75,0,
1,30051,"ネオビタカイン注シリンジ５ｍＬ",343,"筒",50,手術,38,0,38,13034,0,13034,38,,,,,,,,,,,1,38,0,
1,30057,"生理食塩液ＰＬ「フソー」　２０ｍＬ",62,"Ａ",50,手術,1,0,1,62,0,62,1,,,,,,,,,,,1,1,0,
2,7004,"電子媒体保存撮影",0,"回",70,画像,1248,0,1248,0,0,0,1248,,,,,,,,,,,0,0,0,
2,40003,"マイクロファインプラス３１Ｇ",17,"本",4,,28,0,28,476,0,476,28,,,,,,,,,,,0,0,0,
3,2,"他保険にて初診料請求済み",0,,,,3,0,3,,,,3,,,,,,,,,,,0,0,0,
3,1000,"初診料",288,,,,299,0,299,,,,299,,,,,,,,,,,0,0,0,
3,1001,"時間外加算（初診）",85,,,,1,0,1,,,,1,,,,,,,,,,,0,0,0,
3,1004,"乳幼児加算（初診）",75,,,,10,0,10,,,,10,,,,,,,,,,,0,0,0,
3,1601,"労　初診料",3820,,,,13,0,13,,,,13,,,,,,,,,,,0,0,0,
3,1606,"労　救急管理加算外",1250,,,,10,0,10,,,,10,,,,,,,,,,,0,0,0,
3,8950,"夜間・早朝等加算（初診）",50,,,,24,0,24,,,,24,,,,,,,,,,,0,0,0,
3,3,"他保険にて再診料請求済み",0,,,,1,0,1,,,,1,,,,,,,,,,,0,0,0,
3,1200,"明細書発行体制等加算",1,,,,1932,0,1932,,,,1932,,,,,,,,,,,0,0,0,
3,1251,"再診料",73,,,,1787,0,1787,,,,1787,,,,,,,,,,,0,0,0,
3,1265,"外来管理加算",52,,,,239,0,239,,,,239,,,,,,,,,,,0,0,0,
3,1620,"労　再診料",1400,,,,146,0,146,,,,146,,,,,,,,,,,0,0,0,
