品目分類,品番,品名,価格１,単位,診療区分,診療区分名,外来　使用量,入院　使用量,合計　使用量,外来　使用高,入院　使用高,合計　使用高,整形外科,,,,,,,,,,a・b・c,規格単位,外来規格単位数量,入院規格単位数量,
1,20000,"アルツディスポ関節注２５ｍｇ　１％",705,"筒",34,他注,25,0,25,17625,0,17625,25,,,,,,,,,,b,1,25,0,
1,20000,"アルツディスポ関節注２５ｍｇ　１％",705,"筒",40,処置,235,0,235,165675,0,165675,235,,,,,,,,,,,1,235,0,
1,20001,"デキサート注射液１．６５ｍｇ　０．",108,"Ａ",34,他注,25,0,25,2700,0,2700,25,,,,,,,,,,a,1,25,0,
1,20027,"生理食塩液　２０ｍＬ",100,"Ａ",40,処置,5,0,5,500,0,500,5,,,,,,,,,,,1,5,0,
1,20027,"生理食塩液　２０ｍＬ",100,"Ａ",50,手術,45,0,45,4500,0,4500,45,,,,,,,,,,,1,45,0,
1,20037,"アクテムラ皮下注１６２ｍｇオートイ",32608,"ｷｯﾄ",31,皮下,2,0,2,65216,0,65216,2,,,,,,,,,,,1,2,0,
1,20085,"生理食塩液　１００ｍＬ",147,"袋",40,処置,1,0,1,147,0,147,1,,,,,,,,,,,1,1,0,
1,20085,"生理食塩液　１００ｍＬ",147,"袋",50,手術,1,0,1,147,0,147,1,,,,,,,,,,,1,1,0,
1,20149,"生理食塩液　１００ｍＬ",145,"瓶",40,処置,1,0,1,145,0,145,1,,,,,,,,,,,1,1,0,
1,20580,"リドカイン塩酸塩注１％「日新」　５",100,"Ａ",34,他注,34,0,34,3400,0,3400,34,,,,,,,,,,a,1,34,0,
1,20580,"リドカイン塩酸塩注１％「日新」　５",100,"Ａ",50,手術,20,0,20,2000,0,2000,20,,,,,,,,,,,1,20,0,
1,20582,"リドカイン塩酸塩注１％「日新」　１",100,"Ａ",50,手術,1,0,1,100,0,100,1,,,,,,,,,,,1,1,0,
1,21037,"カロナール錠２００　２００ｍｇ",6.7,"錠",22,屯服,80,0,80,536,0,536,80,,,,,,,,,,a,1,80,0,
1,21076,"ロキソニン錠６０ｍｇ",10.4,"錠",22,屯服,660,0,660,6864,0,6864,660,,,,,,,,,,b,1,660,0,
1,21175,"ムコスタ錠１００ｍｇ",10.4,"錠",22,屯服,660,0,660,6864,0,6864,660,,,,,,,,,,c,1,660,0,
1,28002,"ゲンタシン軟膏０．１％　１ｍｇ",11,"ｇ",23,外用,20,0,20,220,0,220,20,,,,,,,,,,,1,20,0,
1,28002,"ゲンタシン軟膏０．１％　１ｍｇ",11,"ｇ",40,処置,46,0,46,506,0,506,46,,,,,,,,,,,1,46,0,
1,28032,"フェルビナクスチック軟膏３％「三笠",4.5,"ｇ",23,外用,560,0,560,2520,0,2520,560,,,,,,,,,,c,1,560,0,
1,28036,"ロキソニンテープ５０ｍｇ　７ｃｍ×",12.7,"枚",23,外用,91,0,91,1155.7,0,1155.7,91,,,,,,,,,,c,1,91,0,
1,28037,"ロキソニンテープ１００ｍｇ　１０ｃ",17.6,"枚",23,外用,819,0,819,14414.4,0,14414.4,819,,,,,,,,,,c,1,819,0,
1,30015,"ボンビバ静注１ｍｇシリンジ　１ｍＬ",3293,"筒",32,静脈,11,0,11,36223,0,36223,11,,,,,,,,,,b,1,11,0,
1,30019,"キシロカイン注ポリアンプ１％　５ｍ",61,"Ａ",34,他注,2,0,2,122,0,122,2,,,,,,,,,,,1,2,0,
1,30019,"キシロカイン注ポリアンプ１％　５ｍ",61,"Ａ",50,手術,10.8,0,10.8,658.8,0,658.8,10.8,,,,,,,,,,,1,10.8,0,
1,30025,"イベニティ皮下注１０５ｍｇシリンジ",25061,"筒",31,皮下,8,0,8,200488,0,200488,8,,,,,,,,,,,1,8,0,
1,30026,"プラリア皮下注６０ｍｇシリンジ　１",24939,"筒",31,皮下,7,0,7,174573,0,174573,7,,,,,,,,,,,1,7,0,
1,30036,"プラリアＨＩ皮下注６０ｍｇシリンジ",24939,"筒",31,皮下,2,0,2,49878,0,49878,2,,,,,,,,,,,0,0,0,
1,30045,"イソジン液１０％",2.42,"mL",40,処置,2588,0,2588,6262.96,0,6262.96,2588,,,,,,,,,,,10,258.8,0,
