品目分類,品番,品名,価格１,単位,診療区分,診療区分名,外来　使用量,入院　使用量,合計　使用量,外来　使用高,入院　使用高,合計　使用高,整形外科,,,,,,,,,,a・b・c,規格単位,外来規格単位数量,入院規格単位数量,
1,20000,"アルツディスポ関節注２５ｍｇ　１％",733,"筒",34,他注,24,0,24,17592,0,17592,24,,,,,,,,,,b,1,24,0,
1,20000,"アルツディスポ関節注２５ｍｇ　１％",733,"筒",40,処置,180,0,180,131940,0,131940,180,,,,,,,,,,,1,180,0,
1,20001,"デキサート注射液１．６５ｍｇ　０．",108,"Ａ",50,手術,3,0,3,324,0,324,3,,,,,,,,,,,1,3,0,
1,20027,"生理食塩液　２０ｍＬ",62,"Ａ",40,処置,12,0,12,744,0,744,12,,,,,,,,,,,1,12,0,
1,20027,"生理食塩液　２０ｍＬ",62,"Ａ",50,手術,55,0,55,3410,0,3410,55,,,,,,,,,,,1,55,0,
1,20037,"アクテムラ皮下注１６２ｍｇオートイ",32608,"ｷｯﾄ",31,皮下,3,0,3,97824,0,97824,3,,,,,,,,,,,1,3,0,
1,20279,"ユーパスタコーワ軟膏",12.4,"ｇ",40,処置,4,0,4,49.6,0,49.6,4,,,,,,,,,,,1,4,0,
1,20426,"イントラリポス輸液１０％　２５０ｍ",1058,"袋",33,点滴,2,0,2,2116,0,2116,2,,,,,,,,,,,1,2,0,
1,20427,"エルネオパＮＦ１号輸液　１０００ｍ",1244,"ｷｯﾄ",33,点滴,4,0,4,4976,0,4976,4,,,,,,,,,,,1,4,0,
1,20431,"ヘパリンＮａロック用１００Ｕ／ｍＬ",158,"筒",32,静脈,8,0,8,1264,0,1264,8,,,,,,,,,,,1,8,0,
1,20454,"レバミピド１００ｍｇ錠",10.1,"錠",22,屯服,20,0,20,202,0,202,20,,,,,,,,,,c,1,20,0,
1,21037,"カロナール錠２００　２００ｍｇ",6.7,"錠",22,屯服,340,0,340,2278,0,2278,340,,,,,,,,,,a,1,340,0,
1,21076,"ロキソニン錠６０ｍｇ",10.1,"錠",21,内服,147,0,147,1484.7,0,1484.7,147,,,,,,,,,,b,1,147,0,
1,21076,"ロキソニン錠６０ｍｇ",10.1,"錠",22,屯服,350,0,350,3535,0,3535,350,,,,,,,,,,b,1,350,0,
1,21175,"ムコスタ錠１００ｍｇ",10.1,"錠",21,内服,147,0,147,1484.7,0,1484.7,147,,,,,,,,,,c,1,147,0,
1,21175,"ムコスタ錠１００ｍｇ",10.1,"錠",22,屯服,350,0,350,3535,0,3535,350,,,,,,,,,,c,1,350,0,
1,28002,"ゲンタシン軟膏０．１％　１ｍｇ",11,"ｇ",40,処置,44,0,44,484,0,484,44,,,,,,,,,,,1,44,0,
1,28002,"ゲンタシン軟膏０．１％　１ｍｇ",11,"ｇ",50,手術,4,0,4,44,0,44,4,,,,,,,,,,,1,4,0,
1,28007,"ヒルドイドソフト軟膏０．３％",18.5,"ｇ",40,処置,2512,0,2512,46472,0,46472,2512,,,,,,,,,,,1,2512,0,
1,28032,"フェルビナクスチック軟膏３％「三笠",4.8,"ｇ",23,外用,800,0,800,3840,0,3840,800,,,,,,,,,,c,1,800,0,
1,28036,"ロキソニンテープ５０ｍｇ　７ｃｍ×",12.9,"枚",23,外用,42,0,42,541.8,0,541.8,42,,,,,,,,,,b,1,42,0,
1,28037,"ロキソニンテープ１００ｍｇ　１０ｃ",18.4,"枚",23,外用,1274,0,1274,23441.6,0,23441.6,1274,,,,,,,,,,b,1,1274,0,
1,30015,"ボンビバ静注１ｍｇシリンジ　１ｍＬ",3476,"筒",32,静脈,5,0,5,17380,0,17380,5,,,,,,,,,,b,1,5,0,
1,30019,"キシロカイン注ポリアンプ１％　５ｍ",59,"Ａ",34,他注,19,0,19,1121,0,1121,19,,,,,,,,,,,1,19,0,
